City,Country,Continent,Temperature,Condition
Accra,Ghana,Unknown,81,Clear. Warm.
Addis Ababa,Ethiopia,Unknown,68,Passing clouds. Mild.
Adelaide,Australia,Oceania,49,Chilly.
Algiers,Algeria,Unknown,71,Passing clouds. Mild.
Almaty,Kazakstan,Unknown,72,Partly cloudy. Mild.
Amman,Jordan,Unknown,70,Clear. Mild.
Amsterdam,Netherlands,Unknown,59,Passing clouds. Cool.
Anadyr,Russia,Unknown,49,Partly sunny. Cool.
Anchorage,Usa,Unknown,61,Scattered clouds. Refreshingly cool.
Ankara,Turkey,Unknown,55,Passing clouds. Cool.
Antananarivo,Madagascar,Unknown,59,Passing clouds. Cool.
Asuncion,Paraguay,Unknown,63,Clear. Mild.
Athens,Greece,Unknown,74,Mild.
Atlanta,Usa,Unknown,91,Sunny. Hot.
Auckland,New Zealand,Unknown,52,Clear. Cool.
Baghdad,Iraq,Unknown,88,Clear. Pleasantly warm.
Bangkok,Thailand,Unknown,84,Passing clouds. Warm.
Barcelona,Spain,Unknown,75,Passing clouds. Mild.
Beijing,China,Unknown,64,Mild.
Beirut,Lebanon,Unknown,83,Scattered clouds. Warm.
Belgrade,Serbia,Unknown,66,Clear. Mild.
Bengaluru,India,Unknown,72,Partly cloudy. Mild.
Berlin,Germany,Unknown,55,Clear. Cool.
Bogota,Colombia,Unknown,66,Scattered clouds. Mild.
Boston,Usa,Unknown,88,Scattered clouds. Hot.
Brasilia,Brazil,South America,66,Thundershowers. Passing clouds. Mild.
Brisbane,Australia,Oceania,58,Cool.
Brussels,Belgium,Unknown,57,Passing clouds. Cool.
Bucharest,Romania,Unknown,66,Clear. Mild.
Budapest,Hungary,Unknown,61,Clear. Cool.
Buenos Aires,Argentina,Unknown,52,Drizzle. Low clouds. Cool.
Cairo,Egypt,Africa,81,Clear. Warm.
Calgary,Canada,Unknown,64,Scattered clouds. Mild.
Canberra,Australia,Oceania,54,Passing clouds. Cool.
Cape Town,South Africa,Unknown,48,Clear. Cool.
Caracas,Venezuela,Unknown,84,Passing clouds. Warm.
Casablanca,Morocco,Unknown,68,Mild.
Chicago,Usa,Unknown,80,Partly sunny. Warm.
Copenhagen,Denmark,Unknown,54,Passing clouds. Cool.
Dallas,Usa,Unknown,90,Broken clouds. Hot.
Dar es Salaam,Tanzania,Unknown,75,Passing clouds. Mild.
Darwin,Australia,Oceania,73,Clear. Mild.
Denver,Usa,Unknown,79,Scattered clouds. Pleasantly warm.
Detroit,Usa,Unknown,85,Sunny. Pleasantly warm.
Dhaka,Bangladesh,Unknown,83,Low clouds. Warm.
Doha,Qatar,Unknown,99,Clear. Extremely hot.
Dubai,United Arab Emirates,Unknown,90,Clear. Hot.
