City,Country,Continent,Temperature,Condition
Accra,Ghana,Unknown,77 °F,Clear. Warm.
Addis Ababa,Ethiopia,Unknown,57 °F,Rain. Mostly cloudy. Cool.
Adelaide,Australia,Oceania,64 °F,Cool.
Algiers,Algeria,Unknown,74 °F,Passing clouds. Mild.
Almaty,Kazakstan,Unknown,72 °F,Broken clouds. Mild.
Amman,Jordan,Unknown,64 °F,Clear. Mild.
Amsterdam,Netherlands,Unknown,55 °F,Passing clouds. Cool.
Anadyr,Russia,Unknown,54 °F,Partly sunny. Cool.
Anchorage,Usa,North America,56 °F,Scattered clouds. Refreshingly cool.
Ankara,Turkey,Unknown,50 °F,Clear. Cool.
Antananarivo,Madagascar,Unknown,59 °F,Passing clouds. Cool.
Asuncion,Paraguay,Unknown,55 °F,Clear. Cool.
Athens,Greece,Unknown,70 °F,Mild.
Atlanta,Usa,North America,73 °F,Light rain. Partly cloudy. Mild.
Auckland,New Zealand,Unknown,61 °F,Partly sunny. Cool.
Baghdad,Iraq,Unknown,85 °F,Clear. Pleasantly warm.
Bangkok,Thailand,Unknown,84 °F,Passing clouds. Warm.
Barcelona,Spain,Unknown,73 °F,Passing clouds. Mild.
Beijing,China,Unknown,71 °F,Haze. Mild.
Belgrade,Serbia,Unknown,61 °F,Clear. Cool.
Bengaluru,India,Unknown,72 °F,Scattered clouds. Mild.
Berlin,Germany,Unknown,55 °F,Passing clouds. Cool.
Bogota,Colombia,Unknown,59 °F,Light rain. Overcast. Refreshingly cool.
Boston,Usa,North America,78 °F,Passing clouds. Warm.
Brasilia,Brazil,South America,66 °F,Thundershowers. Passing clouds. Mild.
Brisbane,Australia,Oceania,70 °F,Cool.
Brussels,Belgium,Unknown,50 °F,Passing clouds. Cool.
Bucharest,Romania,Unknown,63 °F,Passing clouds. Mild.
Budapest,Hungary,Unknown,54 °F,Clear. Cool.
Buenos Aires,Argentina,Unknown,45 °F,Passing clouds. Quite cool.
Cairo,Egypt,Africa,72 °F,Passing clouds. Mild.
Calgary,Canada,Unknown,72 °F,Partly sunny. Mild.
Canberra,Australia,Oceania,54 °F,Overcast. Cool.
Cape Town,South Africa,Unknown,50 °F,Passing clouds. Cool.
Caracas,Venezuela,Unknown,79 °F,Partly cloudy. Warm.
Casablanca,Morocco,Unknown,68 °F,Mild.
Chicago,Usa,North America,68 °F,Partly sunny. Mild.
Copenhagen,Denmark,Unknown,55 °F,Light rain. Passing clouds. Cool.
Dallas,Usa,North America,79 °F,Partly sunny. Warm.
Darwin,Australia,Oceania,84 °F,Sunny. Warm.
Denver,Usa,North America,66 °F,Broken clouds. Mild.
Detroit,Usa,North America,66 °F,Mostly cloudy. Mild.
Dhaka,Bangladesh,Unknown,82 °F,Fog. Warm.
Doha,Qatar,Unknown,91 °F,Clear. Hot.
Dubai,United Arab Emirates,Unknown,88 °F,Clear. Warm.
Dublin,Ireland,Unknown,52 °F,Clear. Cool.
Edmonton,Canada,Unknown,72 °F,Partly sunny. Mild.
